TagName,Count
javascript,1887574
java,1598940
c#,1352558
php,1312406
python,1267649
android,1228281
jquery,967987
html,854563
c++,637710
ios,611379
css,606719
mysql,575004
sql,511650
asp.net,350069
c,312881
r,311113
ruby-on-rails,310981
arrays,307758
node.js,295459
objective-c,288547
.net,288471
json,273454
sql-server,270634
angularjs,259097
swift,245052
iphone,220030
regex,215283
django,210152
ruby,208205
excel,206054
ajax,203163
python-3.x,189532
angular,187298
xml,187239
asp.net-mvc,184200
linux,180636
reactjs,164827
database,159976
spring,158108
wordpress,154922
vba,153142
wpf,152379
string,144107
xcode,135688
windows,133751
laravel,128045
vb.net,126612
pandas,122326
mongodb,119650
html5,119271
multithreading,118198
eclipse,117918
bash,116979
git,115066
oracle,114915
postgresql,106375
forms,97820
twitter-bootstrap,96338
image,95457
macos,94493
typescript,94186
algorithm,94123
scala,92808
python-2.7,92185
list,91784
visual-studio,90668
winforms,86448
matlab,85357
apache,85305
performance,84629
facebook,83905
amazon-web-services,82019
entity-framework,81300
excel-vba,81117
hibernate,79790
css3,79129
sqlite,79011
firebase,77952
function,77300
azure,77167
linq,75867
swing,73942
powershell,73418
rest,73350
shell,73044
qt,72558
api,70434
maven,69936
spring-boot,67983
.htaccess,66816
selenium,66633
loops,66007
file,65953
unit-testing,65691
numpy,65476
codeigniter,64775
csv,64551
docker,64462
symfony,63587
perl,63509
class,61278
google-maps,61255
react-native,60712
uitableview,60637
google-chrome,59762
cordova,59501
tsql,59443
web-services,59294
android-studio,58928
sorting,58608
date,57925
validation,57408
express,56779
sockets,56740
ruby-on-rails-3,56047
dataframe,55959
http,54663
apache-spark,54204
xaml,54043
android-layout,53348
sql-server-2008,53296
opencv,52994
spring-mvc,52154
email,51078
datetime,50687
jsp,50033
wcf,49629
oop,49427
dictionary,49296
c++11,49066
listview,48826
security,48355
parsing,47877
tensorflow,47610
object,47137
visual-studio-2010,46676
user-interface,46499
for-loop,46374
ubuntu,46251
batch-file,46099
unity3d,45874
delphi,44606
pointers,44470
templates,44350
ms-access,43994
google-app-engine,43898
vue.js,43355
if-statement,43353
variables,43306
debugging,42729
haskell,42075
asp.net-mvc-4,41922
unix,41919
matplotlib,41680
authentication,41659
actionscript-3,41305
go,41202
hadoop,41085
session,40998
elasticsearch,40883
pdf,40602
android-fragments,40147
ssl,40121
jpa,39804
jquery-ui,38998
tomcat,38873
generics,38809
asp.net-mvc-3,38646
xamarin,38634
cocoa,38605
internet-explorer,38182
nginx,38074
asynchronous,37600
magento,37580
jenkins,37388
url,37141
web,37039
animation,36881
ruby-on-rails-4,36445
testing,36423
ionic-framework,36370
asp.net-core,36273
curl,36066
flash,35248
laravel-5,35226
firefox,35192
selenium-webdriver,35158
gradle,34947
redirect,34814
inheritance,34810
cocoa-touch,34616
github,34614
jsf,34587
winapi,34561
ipad,34515
recursion,34452
exception,34355
d3.js,34158
post,34142
facebook-graph-api,33592
machine-learning,33585
math,33506
join,33469
dom,33318
opengl,33223
xslt,33214
svg,32994
events,32981
select,32755
image-processing,32690
caching,32593
gcc,32569
iis,32566
button,32521
asp.net-web-api,32320
heroku,32254
assembly,32128
logging,32060
intellij-idea,31874
search,31753
servlets,31737
matrix,31567
stored-procedures,31479
javafx,31298
amazon-s3,31022
networking,30796
flask,30784
mod-rewrite,30712
xpath,30683
cakephp,30604
canvas,30353
ggplot2,30154
audio,30011
encryption,29889
kotlin,29532
optimization,29528
memory,29315
java-ee,29161
video,29155
grails,28949
razor,28855
model-view-controller,28848
cookies,28671
android-intent,28648
arraylist,28446
npm,28422
meteor,28338
iframe,28295
jdbc,28236
firebase-realtime-database,28185
webpack,28025
multidimensional-array,27824
serialization,27574
design-patterns,27542
mongoose,27535
silverlight,27494
visual-c++,27489
vector,27438
mysqli,27433
google-apps-script,27342
tkinter,27309
android-activity,26959
random,26893
plot,26856
activerecord,26629
core-data,26344
input,26047
svn,26015
checkbox,25994
flutter,25954
django-models,25876
amazon-ec2,25765
gridview,25629
indexing,25535
c#-4.0,25513
soap,25488
text,25483
mobile,25461
awk,25276
mvvm,25025
sharepoint,24986
methods,24504
vim,24492
web-scraping,24423
data-structures,24314
apache-flex,24280
google-maps-api-3,24197
boost,24159
groovy,24010
